pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_age,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag,hwc
11 Com b,11 Com,1,2,1,Radial Velocity,2007,323.21,1.178,,,4914.89849,15.464,Msini,0.238,,,G8 III,4874.0,13.76,2.09,-0.26,[Fe/H],2.45,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,5.726,4.72307,0
11 UMi b,11 UMi,1,1,1,Radial Velocity,2009,516.21997,1.53,,,4684.8142,14.74,Msini,0.08,,,,4213.0,29.79,2.78,-0.02,[Fe/H],1.93,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,6.382,5.013,0
14 And b,14 And,1,1,1,Radial Velocity,2008,186.76,0.775,,,1131.1513,3.559,Msini,0.0,,,K0 III,4888.0,11.55,1.78,-0.21,[Fe/H],2.55,,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,6.256,5.23133,0
14 Her b,14 Her,1,1,2,Radial Velocity,2002,1765.0389,2.774,,,2559.47216,8.053,Mass,0.373,,,,,,0.91,,,,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,7.495,6.61935,0
16 Cyg B b,16 Cyg B,1,3,1,Radial Velocity,1996,798.5,1.66,,,565.7374,1.78,Msini,0.68,,,,5750.0,1.13,1.08,0.06,[Fe/H],4.36,,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,6.876,6.215,0
17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,578.38,1.45,,,1373.01872,4.32,Msini,0.06,,,K3 III,4157.0,25.92,1.22,-0.01,[Fe/H],1.7,5.13,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.953,6.615,5.22606,0
18 Del b,18 Del,1,2,1,Radial Velocity,2008,982.85,2.476,,,2926.24614,9.207,Msini,0.024,,,G6 III,4980.0,8.8,2.1,-0.06,[Fe/H],2.87,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,6.43,5.51048,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,Imaging,2008,,330.0,,,3000.0,8.0,Mass,,,1700.0,K7 V,4060.0,,0.85,,,,0.005,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135,14.168,12.618,0
24 Boo b,24 Boo,1,1,1,Radial Velocity,2018,30.33,0.194,,,280.64248,0.883,Msini,0.032,,,G3 IV,4816.0,12.19,1.05,-0.78,[Fe/H],2.28,,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,6.439,5.59,0
24 Sex b,24 Sex,1,1,2,Radial Velocity,2010,452.8,1.333,,,632.46,1.99,Msini,0.09,,,,5098.0,4.9,1.54,-0.03,[Fe/H],3.5,2.7,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,7.399,6.4535,0
