# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Feb 11 12:33:36 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_age,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag
11 Com b,11 Com,1,2,1,Radial Velocity,2007,323.21000000,1.178000,,,4914.89849,15.46400,Msini,0.238000,,,G8 III,4874.00,13.76,2.09,-0.260,[Fe/H],2.45,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000,5.7260000,4.7230700
11 UMi b,11 UMi,1,1,1,Radial Velocity,2009,516.21997000,1.530000,,,4684.81420,14.74000,Msini,0.080000,,,,4213.00,29.79,2.78,-0.020,[Fe/H],1.93,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000,6.3820000,5.0130000
14 And b,14 And,1,1,1,Radial Velocity,2008,186.76000000,0.775000,,,1131.15130,3.55900,Msini,0.000000,,,K0 III,4888.00,11.55,1.78,-0.210,[Fe/H],2.55,,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000,6.2560000,5.2313300
14 Her b,14 Her,1,1,2,Radial Velocity,2002,1765.03890000,2.774000,,,2559.47216,8.05300,Mass,0.373000,,,,,,0.91,,,,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000,7.4950000,6.6193500
16 Cyg B b,16 Cyg B,1,3,1,Radial Velocity,1996,798.50000000,1.660000,,,565.73740,1.78000,Msini,0.680000,,,,5750.00,1.13,1.08,0.060,[Fe/H],4.36,,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000,6.8760000,6.2150000
17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,578.38000000,1.450000,,,1373.01872,4.32000,Msini,0.060000,,,K3 III,4157.00,25.92,1.22,-0.010,[Fe/H],1.70,5.130,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.9530000,6.6150000,5.2260600
18 Del b,18 Del,1,2,1,Radial Velocity,2008,982.85000000,2.476000,,,2926.24614,9.20700,Msini,0.024000,,,G6 III,4980.00,8.80,2.10,-0.060,[Fe/H],2.87,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000,6.4300000,5.5104800
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,Imaging,2008,,330.000000,,,3000.00000,8.00000,Mass,,,1700,K7 V,4060.00,,0.85,,,,0.005,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000,14.1680000,12.6180000
24 Boo b,24 Boo,1,1,1,Radial Velocity,2018,30.33000000,0.194000,,,280.64248,0.88300,Msini,0.032000,,,G3 IV,4816.00,12.19,1.05,-0.780,[Fe/H],2.28,,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000,6.4390000,5.5900000
24 Sex b,24 Sex,1,1,2,Radial Velocity,2010,452.80000000,1.333000,,,632.46000,1.99000,Msini,0.090000,,,,5098.00,4.90,1.54,-0.030,[Fe/H],3.50,2.700,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,7.3990000,6.4535000
24 Sex c,24 Sex,1,1,2,Radial Velocity,2010,883.00000000,2.080000,,,273.32000,0.86000,Msini,0.290000,,,,5098.00,4.90,1.54,-0.030,[Fe/H],3.50,2.700,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,7.3990000,6.4535000
2M0437 b,2MASS J04372171+2651014,1,1,1,Imaging,2021,,118.000000,,,1271.31363,4.00000,Mass,,,1450,M V,3100.00,0.84,0.17,0.010,[Fe/H],4.50,2.500,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.4840000,17.2370000,16.1860000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,Imaging,2013,,84.000000,,,4131.79000,13.00000,Mass,,,,M5.5/M6,,,0.19,,,,0.030,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,,16.9930000,15.7880000
